iter	Passed	Remaining
0	68	68772
1	69	34589
2	69	23143
3	69	17412
4	70	13978
5	70	11686
6	70	10049
7	71	8821
8	71	7864
9	71	7113
10	72	6501
11	72	5980
12	72	5539
13	73	5166
14	73	4840
15	74	4553
16	74	4301
17	74	4076
18	75	3882
19	75	3706
20	75	3540
21	76	3394
22	76	3259
23	77	3138
24	77	3024
25	77	2917
26	78	2818
27	78	2726
28	78	2643
29	79	2563
30	79	2488
31	80	2420
32	80	2356
33	80	2293
34	81	2234
35	81	2178
36	81	2126
37	82	2076
38	82	2028
39	82	1983
40	82	1941
41	83	1899
42	83	1860
43	83	1822
44	84	1789
45	84	1755
46	84	1721
47	85	1690
48	85	1660
49	85	1632
50	86	1604
51	86	1576
52	86	1550
53	87	1525
54	87	1502
55	87	1479
56	88	1456
57	88	1436
58	88	1417
59	89	1398
60	89	1380
61	90	1362
62	90	1343
63	90	1325
64	90	1307
65	91	1293
66	91	1277
67	92	1263
68	92	1249
69	93	1235
70	93	1221
71	93	1207
72	94	1193
73	94	1181
74	94	1169
75	95	1156
76	95	1143
77	95	1132
78	96	1124
79	96	1113
80	97	1103
81	97	1094
82	97	1082
83	98	1073
84	98	1064
85	99	1054
86	99	1046
87	99	1036
88	100	1028
89	100	1018
90	101	1011
91	101	1002
92	102	995
93	102	986
94	102	978
95	102	969
96	103	961
97	103	954
98	104	946
99	104	940
100	104	933
101	105	926
102	105	920
103	106	914
104	106	908
105	106	902
106	107	899
107	108	893
108	108	888
109	109	882
110	109	878
111	110	873
112	110	868
113	111	862
114	111	858
115	111	852
116	112	846
117	112	842
118	113	837
119	113	832
120	113	827
121	114	821
122	114	815
123	114	810
124	115	805
125	115	800
126	115	794
127	115	789
128	116	785
129	116	780
130	117	776
131	117	771
132	117	767
133	118	763
134	118	759
135	118	754
136	119	750
137	119	746
138	119	742
139	120	738
140	120	736
141	121	733
142	121	729
143	122	726
144	122	723
145	123	719
146	123	716
147	123	712
148	124	710
149	124	707
150	125	704
151	125	701
152	126	698
153	126	694
154	126	691
155	127	687
156	127	684
157	127	680
158	128	677
159	128	674
160	128	670
161	129	667
162	129	664
163	129	661
164	130	658
165	130	655
166	130	652
167	131	649
168	131	646
169	131	643
170	132	640
171	132	637
172	132	634
173	133	631
174	133	628
175	133	625
176	133	622
177	134	619
178	134	616
179	134	614
180	135	611
181	135	608
182	135	605
183	136	603
184	136	600
185	136	597
186	136	595
187	137	592
188	137	589
189	137	587
190	138	584
191	138	582
192	138	579
193	138	577
194	139	574
195	140	576
196	141	574
197	141	572
198	141	570
199	141	567
200	142	565
201	142	563
202	142	560
203	143	558
